Abbott, David R.
Ackerly, Neal W.
Adams, D. P.
Adams, Karen
Agenbroad, Lerry D. 
Ahlstrom, Richard V. M.
Altschul, Jeffrey H.
Ambler, J. Richard
Amsden, Charles
Anderson, K. M.
Andresen, J. M.
Anteves, Ernst
Antieau, John M.
Ayres, James E.
Bahr, Donald M.
Bayham, Frank
Bayman, James M.
Beals, Ralph
Bell, W. H.
Benham, B.
Bennett, Kenneth
Bernard-Shaw, Mary
Betancourt, Julio
Bilsbarrow, M. H.
Birkby, Walter H.
Birnie, R. I.
Bohrer, Vorsilla L.
Bostwick, Todd W.
Bradley, B.
Brand, Donald D. 
Braniff, Beatriz 
Breternitz, Cory Dale
Breternitz, David A.
Brew, S. A.
Bronitsky, G.
Brooks, D.
Brown, David E.
Brown, J. L.
Brown, P. E.
Bruder, Simon J.
Bruson-Hadley, Judy L.
Bryan, Kirk
Bullard, William R.
Cable, John S.
Canouts, Veletta
Castetteter, E. F.
Chenault, Mark L.
Chenhall, R. G.
Ciolek-Torrello, Richard S.
Clark, C. P.
Clark, Jeffrey
Clonts, J. B.
Coe, C. A.
Colton, Harold S.
Craig, Douglas B.
Crown, Patricia L.
Cummings, Byron
Cushing, Frank Hamilton
Czaplicki, John S.
Dart, ALlen
Dean, Jeffrey S.
Deaver, William
Debowski, Sharon
Di Peso, Charles C.
Dittert, Alfred E.
Doak, D. P.
Doelle, William H.
Doolittle, W. E.
Dosh, D. S.
Dove, Donald E.
Downum, Christian E.
Doyel, David E.
Effland, R. W.
Ezell, Paul H.
Ferg, Alan
Fewkes, Jesse Walter
Fish, Paul R
Fish, Suzanne K.
Fontana, Bernard L.
Foster, Michael S.
Franklin, Hayward Hoskins
Frapps, Clara Lee (Tanner, Clara Lee)
Frick, Paul S.
Fritz, G. L.
Fuller, S. L.
Gasser, Robert E.
George, A.
Gish, Jannifer W.
Gladwin, Harold S.
Gladwin, Nora
Gladwin, Winifred
Goddard, R.
Goodyear, Albert C.
Gordon, G. J.
Grady, Mark A.
Graybill, Donald A.
Grebinger, Paul
Green, Marjorie
Greenleaf, J. Cameron
Greenwald, David H.
Gregonis, Linda M.
Gregory, David A.
Gumerman, George J.
Hackbarth, Mark R.
Halseth, Odd S.
Hammack, Laurens C.
Harry, Karen G.
Hartmann, Gayle H.
Haury, Emil W.
Hayden, Julian D.
Heidke, J.
Henderson, T. Kathleen
Heuett, M. L.
Hodge, Frederick W. 
Hoffman, C. M.
Holmlund, James P.
Homburg, J. A.
Howard, Ann Valdo
Howard, Jerry B.
Huckell, Bruce B.
Huckleberry, Gary
Huntington, Ellsworth
Huntington, Frederick W.
Jacobs, David
Johnson, Alfred E.
Jones, J. T.
Kelly, Isabel T.
Kelly, J. Charles 
Kemrer, Sandra
Kidder, Alfred V.
Kinkade, G. M.
Kisselberg, JoAnne E.
Kwiatkowski, Scott M.
Lange, Richard C.
Lindauer, Owen
Lindly, J. M.
Lowe, Charles H.
Mabry, Jonathan B.
MacNider, B. S.
Madsen, John H.
Marmaduke, William S.
Martin, Paul S.
Masse, Bruce W.
Mayberry, Jon
Mayro, L. S.
McAllister, Martin
McGuire, Randall H.
McGuire, Thomas R.
Midvale, Frank
Miksa, Elizabeth
Miksicek, Charles H.
Mitchell, Douglas R.
Morris, Donald H.
Mullon, D.
Neitzel, Jill E.
Nials, Fred L.
Nicholas, Linda
Palm, W.
Peterson, Jane D.
Phillips, David A
Pilles, Peter J.
Plog, Fred
Raab, L. Mark
Rankin, A. G.
Ravesloot, John C.
Reiger, A.
Rice, Glen E.
Rodgers, James B.
Rogers, Malcolm J.
Rogers, Raymond N.
Rosenberg, Bettina H.
Rosenthal, E. Jane
Roth, Barbara J.
Rozen, K.
Ruppe, Reynold J.
Russell, Frank H.
Sayles, Edwin B.
Scantling, Fredrick H.
Schaller, David M.
Schiffer, Michael B.
Schoenwetter, James
Schroeder, Albert H.
Scovill, D. H.
Seymour, Deni J.
Shackley, M. Steven
Shaul, D. L
Shenk, Lynn O.
Simonis, Don E.
Sires, Earl W.
Slaughter, Mark C.
Slawson, L. V.
Spier, Leslie
Stacy, V. K. P.
Steen, Charles R.
Stein, P. H.
Sternberg, Charles
Stewart, Yvonne
Stone, Lyle M.
Stubing, M.
Sullivan, Alan P.
Swartz, D. L.
Szuter, Christine
Teague, Lynn S.
Troncone, S. M.
Turney, Omar A.
Underhill, Ruth M.
Upham, Steadman
Urban, Sharon F.
Van Keuren, S
Vivian, R. Gwinn
Vogler, L.
Vokes, Arthur W.
Wallace, Henry D.
Walsh-Anduze, Mary-Ellen
Ward, Albert E.
Wasley, William W.
Waters, Michael R.
Weaver, Donald E.
Weed, Carol S.
Wellman, K. D.
Westfall, D. A.
Whalen, Norman M.
Wilcox, David R.
Windmiller, Ric
Withers, Arnold M.
Wood, J. Scott
Woodbury, Richard B.
Wright, T. E.
Wyckoff, Ralph W.G.
Yablon, R. K.
Yoder, T. D.

Zahniser, Jack L.
Zyniecki, Mark
